timestamp,event_type,track_id,vehicle_class,lane_or_line,extra
1788635165.4130063,count,711,Car,Near-Carriageway,outbound
1788635167.1638503,count,719,Car,Near-Carriageway,outbound
1788635167.3986433,count,722,Truck,Near-Carriageway,outbound
1788635167.5584087,count,720,Car,Near-Carriageway,outbound
1788635169.5649278,count,748,Car,Near-Carriageway,outbound
1788635170.1272838,count,752,Car,Near-Carriageway,outbound
1788635170.529941,count,753,Car,Near-Carriageway,outbound
1788635171.3370726,count,765,Car,Near-Carriageway,outbound
1788635173.0977376,count,770,Car,Near-Carriageway,outbound
1788635173.4189112,count,774,Car,Far-Carriageway,inbound
1788635173.5026243,count,772,Car,Near-Carriageway,outbound
1788635175.5680933,count,785,Car,Near-Carriageway,outbound
1788635175.6468966,count,783,Car,Near-Carriageway,outbound
1788635176.8163648,count,791,Car,Near-Carriageway,outbound
1788635177.442392,count,799,Car,Near-Carriageway,outbound
1788635178.1587305,count,805,Car,Near-Carriageway,outbound
1788635179.4234967,count,810,Car,Near-Carriageway,outbound
1788635179.6699107,count,811,Car,Near-Carriageway,outbound
1788635179.9067037,count,814,Car,Near-Carriageway,outbound
1788635181.0768604,count,818,Car,Near-Carriageway,outbound
1788635181.6295755,count,823,Car,Near-Carriageway,outbound
1788635182.2574582,count,829,Car,Near-Carriageway,outbound
1788635182.7251585,count,835,Car,Near-Carriageway,outbound
1788635183.3384812,count,840,Car,Near-Carriageway,outbound
